voltage,capacity,SoC
3.0887,0,0
3.2257,0,0
3.2257,0,0
3.2527,0.1,0.004613397
3.2586,0.1,0.004613397
3.2728,0.1,0.004613397
3.2734,0.2,0.009226795
3.2744,0.2,0.009226795
3.2862,0.3,0.013840192
3.2877,0.3,0.013840192
3.288,0.3,0.013840192
3.2883,0.4,0.018453589
3.289,0.4,0.018453589
3.2896,0.4,0.018453589
3.2902,0.5,0.023066987
3.2908,0.5,0.023066987
3.2914,0.5,0.023066987
3.2921,0.6,0.027680384
3.293,0.6,0.027680384
3.2936,0.6,0.027680384
3.2945,0.7,0.032293781
3.2955,0.7,0.032293781
3.2961,0.8,0.036907178
3.2967,0.8,0.036907178
3.2973,0.8,0.036907178
3.2983,0.9,0.041520576
3.2986,0.9,0.041520576
3.2995,0.9,0.041520576
3.3001,1,0.046133973
3.3007,1,0.046133973
3.3017,1,0.046133973
3.3023,1.1,0.05074737
3.3029,1.1,0.05074737
3.3035,1.2,0.055360768
3.3041,1.2,0.055360768
3.3048,1.2,0.055360768
3.3054,1.3,0.059974165
3.306,1.3,0.059974165
3.3066,1.3,0.059974165
3.3072,1.4,0.064587562
3.3079,1.4,0.064587562
3.3088,1.4,0.064587562
3.3091,1.5,0.06920096
3.3097,1.5,0.06920096
3.31,1.6,0.073814357
3.3107,1.6,0.073814357
3.3113,1.6,0.073814357
3.3119,1.7,0.078427754
3.3125,1.7,0.078427754
3.3128,1.7,0.078427754
3.3134,1.8,0.083041152
3.3138,1.8,0.083041152
3.3144,1.8,0.083041152
3.3147,1.9,0.087654549
3.3156,1.9,0.087654549
3.3162,1.9,0.087654549
3.3165,2,0.092267946
3.3172,2,0.092267946
3.3178,2.1,0.096881343
3.3181,2.1,0.096881343
3.3187,2.1,0.096881343
3.319,2.2,0.101494741
3.3196,2.2,0.101494741
3.32,2.2,0.101494741
3.3203,2.3,0.106108138
3.3209,2.3,0.106108138
3.3215,2.3,0.106108138
3.3218,2.4,0.110721535
3.3227,2.4,0.110721535
3.3231,2.5,0.115334933
3.3237,2.5,0.115334933
3.324,2.5,0.115334933
3.3243,2.6,0.11994833
3.3249,2.6,0.11994833
3.3252,2.6,0.11994833
3.3258,2.7,0.124561727
3.3262,2.7,0.124561727
3.3265,2.7,0.124561727
3.3268,2.8,0.129175125
3.3274,2.8,0.129175125
3.3277,2.9,0.133788522
3.3283,2.9,0.133788522
3.3286,2.9,0.133788522
3.3289,3,0.138401919
3.3299,3,0.138401919
3.3302,3,0.138401919
3.3305,3.1,0.143015316
3.3308,3.1,0.143015316
3.3314,3.1,0.143015316
3.3317,3.2,0.147628714
3.332,3.2,0.147628714
3.3324,3.2,0.147628714
3.333,3.3,0.152242111
3.3333,3.3,0.152242111
3.3336,3.4,0.156855508
3.3342,3.4,0.156855508
3.3345,3.4,0.156855508
3.3348,3.5,0.161468906
3.3351,3.5,0.161468906
3.3358,3.5,0.161468906
3.3361,3.6,0.166082303
3.3364,3.6,0.166082303
3.3373,3.6,0.166082303
3.3376,3.7,0.1706957
3.3379,3.7,0.1706957
3.3382,3.8,0.175309098
3.3389,3.8,0.175309098
3.3392,3.8,0.175309098
3.3395,3.9,0.179922495
3.3398,3.9,0.179922495
3.3404,3.9,0.179922495
3.3407,4,0.184535892
3.341,4,0.184535892
3.3417,4,0.184535892
3.342,4.1,0.18914929
3.3423,4.1,0.18914929
3.3426,4.1,0.18914929
3.3432,4.2,0.193762687
3.3435,4.2,0.193762687
3.3438,4.3,0.198376084
3.3448,4.3,0.198376084
3.3451,4.3,0.198376084
3.3454,4.4,0.202989481
3.3457,4.4,0.202989481
3.3463,4.4,0.202989481
3.3463,4.5,0.207602879
3.3469,4.5,0.207602879
3.3472,4.5,0.207602879
3.3475,4.6,0.212216276
3.3482,4.6,0.212216276
3.3485,4.7,0.216829673
3.3488,4.7,0.216829673
3.3491,4.7,0.216829673
3.3494,4.8,0.221443071
3.3497,4.8,0.221443071
3.3503,4.8,0.221443071
3.3503,4.9,0.226056468
3.351,4.9,0.226056468
3.3516,4.9,0.226056468
3.3519,5,0.230669865
3.3522,5,0.230669865
3.3525,5.1,0.235283263
3.3528,5.1,0.235283263
3.3531,5.1,0.235283263
3.3537,5.2,0.23989666
3.3537,5.2,0.23989666
3.3544,5.2,0.23989666
3.3547,5.3,0.244510057
3.355,5.3,0.244510057
3.3553,5.3,0.244510057
3.3556,5.4,0.249123455
3.3559,5.4,0.249123455
3.3562,5.4,0.249123455
3.3565,5.5,0.253736852
